Group	filter	actor	item	Distance	DistanceM	Space	SpaceM	HoldT	HoldTM	Subs	SubsM	Peak	PeakM	Gaze	Duration	DurationM
0	1	8	24	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	7021.00	.29
0	1	8	25	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	6354.00	-.61
0	1	8	26	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.03	7617.00	-.14
0	1	8	27	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.17	6600.00	-.35
0	1	8	28	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.08	5445.00	-.77
0	1	8	29	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	7273.00	.88
0	1	8	30	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.08	4854.00	-.75
0	1	8	31	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.05	8508.00	.00
1	1	9	1	5.93	0.99442	2	0.62773	0.73	-0.31977	10	0.91687	1.9	-0.35339	0	6260.00	.76
1	0	9	2	44.13	5.09446	5	0.6455	1.8	2.02164	52	5.22918	5.73	2.11302	0.76	32711.00	5.63
1	1	9	3	8.48	0.64676	4	2.51983	1	0.39035	14	1.24895	2.7	0.03189	0.08	6711.00	.39
1	1	9	4	4.56	-0.84408	4	2.385	1.3	0.68572	9	-0.53307	2.67	-0.04358	0.16	5447.00	-.70
1	1	9	5	6.9	0.04926	4	3.66789	1.03	-0.1791	11	-0.40749	1.71	-0.94907	0.07	9135.00	.53
1	1	9	6	6.49	0.25732	4	1.85924	1	-0.64856	12	0.1951	2.51	0.39275	0.12	8000.00	.20
1	0	9	7	9.86	0.87045	2	1.5	0.43	-0.85838	11	-0.22822	2.71	-0.13911	0.03	8074.00	.28
1	1	9	8	11.69	1.75131	4	3.3551	0	-1.37129	16	1.17133	5.48	2.91558	0	9112.00	1.02
1	1	9	9	17.54	3.82408	4	1.22216	0.33	-1.18299	20	2.45891	2.58	-0.03126	0.04	10246.00	2.06
1	1	9	10	8.5	0.23347	2	0.89966	2.27	0.37648	13	-0.16124	2.57	-0.26712	0	9334.00	.28
1	1	9	11	8.21	1.39833	4	2.33013	0.83	-0.33608	11	0.30429	1.87	-0.29692	0.69	9000.00	1.63
1	1	9	12	5.96	-0.16043	4	2.385	2.9	1.68375	16	1.29617	2.06	-0.26893	0.69	9000.00	1.70
1	1	9	13	7.28	-0.53333	4	1.82349	0.2	-1.23692	14	0.26511	1.98	-0.58761	0.05	8000.00	-.29
1	1	9	14	5.7	-0.15997	4	2.41824	0.53	-0.68007	11	0.67607	2.35	-0.24894	0	7074.00	.84
1	1	9	15	9.08	1.31795	5	2.39487	4.53	2.30629	14	1.46857	2.64	0.33708	0.12	13185.00	2.82
